Layer,Name,GEOID,Population,HBU_2020-2024,HBU_2020-2024_moe95,LAI_2012-2016,LAI_2012-2016_moe95,ACT_2020-2024,ACT_2020-2024_moe95,FOR_2020-2024,FOR_2020-2024_moe95,PCT-W_2020-2024,PCT-W_2020-2024_moe95,POP_2020-2024,POP_2020-2024_moe95,POV_2020-2024,POV_2020-2024_moe95,UMP_2020-2024,UMP_2020-2024_moe95,EDB_2020-2024,EDB_2020-2024_moe95,FAI_2022,FAI_2022_moe95,CZV_2020-2024,CZV_2020-2024_moe95,CZD_2024,CZD_2024_moe95,MCD_2020-2024,MCD_2020-2024_moe95
(Indicator name),,,,"Housing cost burden (% of occupied housing units), 2020-2024",(95% margin of error),"Location affordability index (% of income), 2012-2016",(95% margin of error),"Active transportation to work (% of workers 16 years and older), 2020-2024",(95% margin of error),"Foreign born (% of residents), 2020-2024",(95% margin of error),"Demographics, White (Non-Hispanic) (% of residents), 2020-2024",(95% margin of error),"Population (residents), 2020-2024",(95% margin of error),"Poverty rate (% of residents), 2020-2024",(95% margin of error),"Unemployment rate (%), 2020-2024",(95% margin of error),"High school graduation rate (% of residents), 2020-2024",(95% margin of error),"Food insecurity (% of residents), 2022",(95% margin of error),"Violent crime (crimes), 2020-2024",(95% margin of error),"Drug abuse (crimes), 2024",(95% margin of error),"Medicaid coverage (% of residents), 2020-2024",(95% margin of error)
(Definition),,,,"Households spending more than 30% of income on housing are considered housing cost-burdened. Includes both renters (rent) and owners (mortgage and other owner costs). For renters, costs include any utilities or fees that the renter must pay, but do not include insurance or building fees.",,"Housing and transportation costs as a percent of income for a household making the median income. Higher values mean that a larger percentage of income is spent on housing and transportation costs.",,"Percent of workers 16 and older who take active transportation to work (walking, biking, or taking public transportation).",,"Percent of residents who were not U.S. citizens at the time of birth (includes both naturalized citizens and those who are not currently citizens).",,"Percent of residents within each demographic group. Use this topic to explore age, gender, and racial/ethnic breakdowns.",,"Average population over the time period.",,"Percent of residents in families that are in poverty (below the Federal Poverty Level).",,"Percent of residents 16 and older in the civilian labor force who are actively seeking employment.",,"Residents 25 or older with at least a high school degree: including GED and any higher education",,"Percentage of the population experiencing food insecurity at some point. Food insecurity is the household-level economic and social condition of limited or uncertain access to adequate food, as represented in USDA food-security reports. 2020 data is a projection based on 11.5% national unemployment and 16.5% national poverty rate.",,"Crimes related to violence. Includes homicide, criminal sexual assault, robbery, aggravated assault, and aggravated battery.",,"Drug abuse crimes. Drug abuse is defined as the violation of laws prohibiting the production, distribution, and/or use of certain controlled substances and the equipment or devices utilized in their preparation and/or use. While not defined as a major crime, drug abuse rates are included here to show policing and enforcement patterns that may be disproportate to the true underlying rate of use by different populations.",,"Percent of residents covered by Medicaid, a state-administered health insurance program for residents meeting certain income limits and other eligibility standards that vary by state.",
(Citation),,,,"U.S. Census Bureau - American Community Survey (ACS) (Tables B25070/B25091)",,"U.S. Department of Housing and Urban Development - Location Affordability Index",,"U.S. Census Bureau - American Community Survey (ACS) (Table B08301)",,"U.S. Census Bureau - American Community Survey (Table B05002)",,"U.S. Census Bureau - American Community Survey (Table B01001)",,"U.S. Census Bureau - American Community Survey (ACS: Table B01001; Decennial Census: Table P012)",,"U.S. Census Bureau - American Community Survey (Table B17001)",,"U.S. Census Bureau - American Community Survey (Tables B23025, B23001, and C23002)",,"U.S. Census Bureau - American Community Survey (Table B15002)",,"Feeding America - Map the Meal Gap (Map the Meal Gap 2020)",,"Crime data portal",,"Crime data portal",,"U.S. Census Bureau - American Community Survey (ACS) (Tables S2704, S2701, and B27010)",
---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
Zip code,60601,60601,15814,43.21461945800021,9.018305649227537,53.78986841341169,,47.38516603698548,8.329724692990597,33.71184771906793,7.206525799911306,49.87856908434526,5.5831473647264245,15235.0,1822.9787234042553,5.643175617222333,2.961411936754439,3.3461169702780444,2.6993284224431267,95.44087769199513,5.643736106718063,10.4,,152.856443513,,79.967359859,,3.289344100846957,1.707505838446898
Zip code,60602,60602,1261,34.69101123595505,25.37531341665944,54.38434045108843,,65.74642126789367,16.399112090485666,30.945945945945947,18.5404094997344,37.16216216216216,4.444799455247699,1480.0,652.9361702127659,11.322033898305085,15.18868546261422,8.025830258302582,11.228950069957177,98.01512287334594,58.66847914058847,11.3,,25.1382364886,,12.361923945000001,,11.351351351351353,14.282616906392885
Zip code,60603,60603,1288,46.23243933588761,18.005348693683914,60.63318349172388,,52.84090909090909,23.6738480873706,23.805855161787363,12.834829895441661,64.09861325115563,16.113190255523065,1298.0,378.89361702127655,14.122448979591836,9.9244858917353,3.9915966386554618,9.181156168363055,100.0,50.79970946471208,9.8,,29.7425773378,,10.397287226,,4.622496147919876,6.751043397865194
Zip code,60604,60604,897,58.86889460154242,30.42454706236954,60.25917575921488,,30.526315789473685,17.350402989066154,30.03246753246753,13.012041913278292,71.1038961038961,19.48650717164152,616.0,206.12765957446808,12.5,14.495623538631774,8.653846153846153,21.024406811585227,97.07401032702238,4.3506278016808615,13.0,,21.171183505800002,,8.049872063999999,,6.655844155844156,9.411233300378536
Zip code,60605,60605,34071,40.14364303178484,7.900624043277898,49.81439189184264,,32.3444347063979,4.921397723876898,21.75642087821044,4.197514217800638,47.83485225075946,5.413703955966972,36210.0,3091.914893617021,9.786328739247065,3.141748692907602,5.757794921247188,2.338757173032205,97.22770828761612,4.145834313178205,11.4,,281.2688945154,,122.20853057500001,,7.324903545579994,3.0889190821474197
Zip code,60606,60606,3797,25.27586206896552,12.550571886996336,52.459780834516565,,58.477929984779294,19.286085164782524,23.72395833333333,11.151198142183068,55.02604166666667,6.123675180306519,3840.0,980.5957446808511,4.53125,4.122605766315995,2.4011713030746704,3.0845371960363495,100.0,39.5392944924062,10.9,,68.25862276560001,,44.516724361,,1.171875,1.4906485058075372
Zip code,60607,60607,31816,34.43464604977048,5.834188223847654,51.82684875631283,,46.24091671324763,5.236408615444584,21.462089404791307,3.655686205644805,52.1702889602371,4.741290646426536,32392.0,2388.936170212766,13.531062937535934,2.5640642761054937,5.566119273984443,2.0721790550171884,97.16611395839614,3.595143327111206,13.7,,298.5331954966,,91.34300643899999,,7.057804719636285,1.453781497000072
Zip code,60608,60608,75770,34.907014681892335,2.7331928945258115,45.532398308053715,,27.974184108071388,2.987914945830446,29.523019185751263,1.737949360154039,19.019780274223717,1.6551437423529616,80737.0,3954.5531914893613,18.8151914123482,2.424727211986806,8.282619422448837,1.435426090581275,77.31122388363686,0.9119195806159393,16.7,,686.3048112934,,86.608407012,,25.746999586149816,2.236498511092899
Zip code,60609,60609,65770,37.87362349239643,4.208653078118021,46.18588341326412,,18.185550082101805,2.6895698625222377,27.3763461662475,2.2836234799830817,12.626555749016577,1.6862161394113266,62028.0,3916.425531914894,26.289794993036885,4.729501905072603,12.579688190367984,2.477563762694905,76.66351308735415,2.545434747981616,22.3,,884.5159303124,,74.50331491,,35.55325549050684,3.7296716399893666
Zip code,60610,60610,43794,37.68171922185547,4.42034198140372,45.65555838095878,,44.82135364554756,4.886455444210443,13.214357329055543,2.7379638929223784,68.2062250740815,0.4339483970105897,44883.0,3234.8936170212764,12.5224602626123,3.363613413760532,3.804364649435072,1.5962269224351346,96.87910001954052,2.011513291450892,12.3,,224.1672067378,,38.636644167,,10.578667921231268,4.575435563068355
Zip code,60611,60611,38456,40.61260823824553,5.810962413787254,50.994544695265674,,40.11392354286173,4.3811395741992225,26.28033417318658,4.084558042282519,57.151571409627365,4.271444851343756,37705.0,1902.8085106382978,7.316360157329647,2.44836908441183,3.0702087286527515,1.6078635805902575,99.18457648546143,4.704508635932061,10.3,,274.62172273100003,,54.195085085,,3.7050789020023873,2.7396930897670826
Zip code,60612,60612,34402,40.90170856882999,4.548314688368246,45.39520727054844,,28.65752413750692,4.009184372499615,10.18072963294539,1.8394008567222258,22.426141450313335,2.077596547975169,35744.0,2509.276595744681,25.236647352418107,4.988916713911481,11.614340263046245,2.521892263392059,90.2977597884022,2.9301959513306124,18.6,,784.3082047606,,201.443701088,,35.10262853270844,4.739866689762922
Zip code,60613,60613,53048,32.12009678628634,3.0144291461914627,46.2240629778112,,32.837544332334424,2.279718946064676,16.114769160094937,2.216608462229343,67.39912717249827,3.112332384077379,52244.0,2565.276595744681,9.117056597946103,1.7480859269208955,4.333697291114231,1.405053691559188,96.64033044355322,7.233916027504745,11.9,,233.112443961,,21.075331989,,8.291054997202878,1.455658808055319
Zip code,60614,60614,73173,30.68445147798564,2.641397978361161,48.33109380223663,,34.614204296361244,2.2984356692631542,13.475167272572955,1.8995060910430583,76.81807251071535,2.0119146240186043,70693.0,2643.9148936170213,8.442458561906447,1.630831720714006,4.151695777690087,1.0196321515941391,98.10562343296056,2.009887359679248,10.1,,221.4959547638,,11.130930761,,5.021653655478945,1.0058894711673532
Zip code,60615,60615,43502,46.34983498349835,3.731215528237272,45.004218698918436,,35.36645351697,2.9551630548611283,14.82955206515416,2.221873648643751,24.376963350785346,2.6022582288842373,42975.0,2178.0425531914893,22.345106713415063,2.92263535486245,9.901028830731915,1.9043759553300756,94.06269530607544,3.0617500890362237,16.5,,459.47337267,,34.955955641,,18.41615051459973,3.1348265649062057
Zip code,60616,60616,54013,37.51707450337587,4.063730797936502,45.20924944935583,,23.86459802538787,2.87640931110937,33.788760403623776,3.9736163313613266,25.195183030124475,2.4364373643467845,54308.0,2723.7446808510635,18.040842862059733,2.3864208914269662,7.289517946114056,1.816778849184867,86.32488836887224,3.1375863465686193,14.8,,454.05742611979997,,74.905220761,,23.641105503124,2.609251176699987
Zip code,60617,60617,77270,36.91087103308576,3.371109075623975,47.943103346250886,,14.624519734544185,2.7850152497200273,15.16379195079556,1.6310947563132354,7.08383473726434,1.240559110078144,74790.0,4267.914893617021,24.38501375627124,2.9076733668376358,12.86079866690472,2.3010003807414927,82.47594084969877,6.718290893158972,16.6,,1101.5919757798,,61.823595239,,36.831542753167525,3.1554624214784117
Zip code,60618,60618,90316,32.249329617750675,2.922440915294791,47.565927875485755,,21.36601466534141,1.8149126135113254,20.082480060064636,1.7443153614673204,50.71762004765999,1.5583191497352755,91901.0,4359.659574468085,8.724744161637366,1.3958348647636776,5.389639875650564,0.9641373630050252,90.45048034144207,5.3605838327243225,11.4,,371.7134154876,,30.221619633,,12.087049434135066,1.4713719058785215
Zip code,60619,60619,63303,46.75760681344312,3.8866713097037913,46.056927324116344,,23.85386819484241,4.249782473596939,4.472043426381863,1.395544673264623,1.0587701460430567,0.5253192747566688,59503.0,3321.872340425532,24.966723391349767,3.0912471189197332,17.68652165074202,2.8669267550887563,90.15165699307246,2.6059675943309983,18.5,,1306.4883696038,,94.801742399,,39.3838495947264,4.1666833064011595
Zip code,60620,60620,66514,44.18650019508389,3.8864369877821114,46.417172444731065,,23.37544737182528,3.652877728853522,4.172896980160626,2.2028565953982295,0.840128871144271,0.4176033178597237,64871.0,3873.531914893617,24.83397250023384,3.501370274480105,16.2742165489896,2.646500095921832,88.43661171119955,2.1647908025606024,17.9,,1275.0190660156,,155.844902391,,40.72678790133792,4.285005371667671
Zip code,60621,60621,29570,47.10881373751533,5.0792369221750295,45.7166832707498,,22.29806598407281,4.525122785258077,6.8372142327126255,2.3606490564639406,1.678385922758913,0.837387380542532,28301.0,2056.5106382978724,32.35134646665462,4.8671586285187995,20.317027441622635,4.18003422185227,77.17484492410107,3.4887406981298583,25.4,,982.6469188658,,190.619462901,,51.6656506615986,5.917635132076725
Zip code,60622,60622,55075,27.84867477157744,2.9613000537449876,47.970473868798706,,23.962894825486487,1.8579880613102968,12.415535900675714,1.7596176668654127,62.52815469977476,2.148987139122674,54609.0,2546.2127659574467,8.113343295146382,1.6273284396070202,3.8406512086827824,1.076496249285309,94.50074989774122,6.090433491662279,10.9,,427.813809278,,79.506752128,,10.345715810196683,1.9374012673347847
Zip code,60623,60623,87649,42.87891986062718,4.444551537026719,45.49759378651313,,20.63103124905466,3.0962394244041347,28.767055870664517,1.8645797785041,4.629846081917393,1.3430742251527823,81277.0,4539.574468085107,24.227807605986584,3.738359548572926,9.19731991496919,1.7906532804363464,70.51074295083217,3.5735177436984538,21.3,,1400.7786510608,,472.544211821,,38.719782930439074,3.612550980081425
Zip code,60624,60624,37547,54.67012601927353,5.596806294263598,45.692611776087055,,25.52823815882492,3.63731318068209,6.8939114652752185,4.7617052653781675,3.578821994725349,1.1222000816059128,35263.0,2716.595744680851,33.67425649230066,4.887296921885105,16.115033357082712,3.2603083431657334,78.41272662637753,2.686781643294475,25.6,,1309.1494404554,,1155.044847373,,48.61360975470459,4.239398426306337
Zip code,60625,60625,76525,35.55241238409555,3.097865876226948,46.64664347553013,,28.747145408913106,2.382206691154551,31.474726420010423,2.393618623789411,45.88978634705576,2.2471474593591783,76760.0,3234.8936170212764,11.886837945722936,2.3821455350977163,6.370748511070991,1.3563745037518051,88.10503410316895,1.9419975289110978,14.3,,307.5213473482,,38.982633504,,18.997810430791144,2.7909606135737364
Zip code,60626,60626,50548,41.62250975559663,4.385536894589741,43.798444899936854,,34.16367602561396,3.2209548868041082,24.231807015424263,3.3596089036464347,47.00978615440377,3.0825778608104932,49662.0,2711.829787234042,18.064307293914545,2.5660698583791315,6.719227674979887,1.7847350848729635,89.87965903392947,3.008909765337935,15.5,,323.7573728668,,60.134979938,,19.8844075364617,2.9785141540350764
Zip code,60628,60628,62832,39.60159708358649,3.5792276328581534,47.74061149026378,,18.214237953015648,2.8060865625541425,3.516407142029753,1.1760753691653656,2.890900365706343,0.7855342285301161,60431.0,3810.3829787234044,23.30779268578312,4.283540321651727,17.141823444283645,2.980310197804978,87.2187968671888,1.0159188755093136,18.0,,1150.8439450558,,184.670975671,,38.48340286896827,3.7025154537849136
Zip code,60629,60629,114453,40.30810250333284,3.9784020003472444,47.53692060986099,,14.98272983050072,2.5546708036525483,31.535024555961744,1.9083940547267506,6.078985266422953,0.8592666520672023,108324.0,4949.446808510638,19.004083905698906,3.3005322375822956,9.443494012277348,1.535297495918119,72.17699325782493,2.6458810137081956,18.4,,871.9556268284,,197.845164505,,35.57924097865541,3.2176450575779194
Zip code,60630,60630,54064,31.751579513375454,3.590509346083314,48.4618834296617,,15.138845336399427,2.492630998094545,29.600259524925203,2.6549055140396014,52.6367011498396,2.586958761795151,55486.0,2932.255319148936,7.817554258452754,1.981362988196843,4.750783799347367,1.392476703259955,91.6916498746744,0.9441365765531229,11.3,,168.6594166194,,35.792902155,,15.101650926393194,2.675166293362004
Zip code,60631,60631,29691,26.715447154471544,4.496505404306886,49.68709834778201,,8.924989971921379,2.49091736450711,14.813736903376018,2.3935823462474994,75.17462165308498,3.599754451403126,30924.0,1839.659574468085,6.183466947036404,2.287267167915727,3.564110524681776,1.7972946164913182,95.8917373662855,3.8011216487969657,9.7,,27.7110987786,,3.091438835,,8.709762014030026,3.4401612796683216
Zip code,60632,60632,92237,35.27773706580683,4.121713201103551,47.35625713861119,,16.6018864013267,2.032061628858791,43.44215381507625,2.557224750893693,7.468549047774024,1.2551677837852164,89107.0,4655.148936170212,14.977070712789448,2.1417327115651603,9.280217292892711,1.6463972173406236,68.23983933555722,1.3415027393718761,17.599999999999998,,590.0054524646,,52.625973261,,31.29432424522142,2.4213289756310066
Zip code,60633,60633,13359,33.39460784313725,7.76512264633925,50.00211146560802,,10.87527794623004,4.9795419541995765,12.47394580727914,4.279010982841666,26.67949334616001,5.807895680919117,12474.0,1389.2765957446807,11.78500986193294,3.60448698731078,9.747483665901466,5.1591628032099965,85.38488412716899,5.8551093544194375,13.5,,51.9704444342,,2.7642362250000003,,32.58371634931057,8.333203630344139
Zip code,60634,60634,75694,34.3510335256738,3.298988516320119,48.55676882257701,,9.236436882139357,1.6300551383972657,32.34756716518915,2.3019377859273056,45.28118021249239,2.702433710694105,73885.0,2944.1702127659573,9.34018851756641,1.738376529243746,4.89709188841944,1.1089099339811725,86.71127567994286,2.6987845049544084,11.1,,206.7672896326,,29.478693137,,19.166247843627325,2.2017840080345885
Zip code,60636,60636,34800,48.09835485582876,5.9284928329954925,46.839222260104414,,23.749264273101826,3.9072858843397835,13.86110938567613,3.327614219803629,1.338592459158954,1.0681129132862495,32198.0,2497.3617021276596,30.381717417024724,4.622509064977953,16.36141636141636,2.89327886609278,77.54859364280814,2.0619171214662533,23.5,,873.1062134278,,194.295019947,,44.08448516850443,4.429207395256962
Zip code,60637,60637,53555,46.18486216417583,4.097365003486643,45.520783233286856,,36.52468723140101,4.169316239060875,9.23920259479145,1.7849108925148405,15.999317160144914,1.2776882783104084,52721.0,2984.68085106383,31.37635683476768,3.8293113736629967,13.676986913501436,2.287375707291964,89.45982778913461,2.3304805635841794,22.5,,948.977811828,,70.959343718,,35.916582319576804,3.1752966355952683
Zip code,60638,60638,56928,27.14403451786493,3.8675074560624236,49.07698965370468,,8.312085670576238,1.6469355165904693,25.692960016820276,2.4463750937027706,33.53716228054806,2.5027927511751424,57074.0,3388.595744680851,6.441572144552889,1.4355475890002847,4.575628259838786,1.851099277642389,83.70840987956726,2.648320765284793,10.7,,141.0334138138,,30.692836112000002,,17.091845674037216,2.8275030288952054
Zip code,60639,60639,89543,43.80420846217664,3.8889911727554702,46.78940908699347,,16.055325034578146,2.4021831357830497,34.54059829059829,2.5197318045319372,8.468660968660968,1.720078703344881,84240.0,4528.851063829788,17.49716400979163,3.0651592756685435,6.664510672172745,1.405227721612002,70.73509268559948,1.1272457330938477,15.6,,592.4528704768001,,76.341788507,,31.77078373488239,2.5118148101629503
Zip code,60640,60640,65941,38.82371591629676,3.1542848787327595,44.05486081603134,,33.93695506371563,3.0081926252230935,22.57620903048361,2.6302258866526596,54.065245626098246,1.7387636556556767,65445.0,2225.702127659574,17.51470611181326,2.5420851346642555,5.480400035717475,1.12188546915871,93.125863180186,2.6912119789986226,16.400000000000002,,315.850312037,,32.587510517,,19.32157986543733,2.369338149889835
Zip code,60641,60641,69354,36.16315830056288,3.354308139992723,47.10801673798889,,17.72274488101826,2.096060279750094,29.857462188289254,1.826324450859313,34.728713676082094,1.9109853962221683,68894.0,3226.553191489362,14.05213929183073,2.7653189800330633,6.524995556909641,1.18803107234109,84.30875195908604,1.5691573613116052,14.000000000000002,,319.2679369746,,66.835387682,,23.96650891882053,2.741737966075534
Zip code,60642,60642,21687,25.040373990650235,4.54827931023301,48.91333931979882,,30.285498679411397,3.9936989869652573,13.584836385332046,3.1530745614958082,59.10321721969801,3.480009224564401,21789.0,1322.5531914893616,8.935623105886675,3.12613645386507,4.630122405534859,2.1176434745639794,96.35462555066078,3.3015546522114727,10.1,,159.679892233,,19.859358976000003,,6.57544310772339,2.3297707441241466
Zip code,60643,60643,47831,35.50143105673719,4.119068370889951,49.85686757860746,,14.29025087329311,2.974802837780298,3.423882286361064,1.366881018057175,22.95285359801489,2.793917950906981,45942.0,3197.95744680851,15.565169162506931,3.0955139864125067,10.82143022234549,2.530987617613924,93.82739095264763,3.1238617968005378,10.3,,411.8148743274,,71.745009556,,27.662437948152235,3.7361860599264163
Zip code,60644,60644,47239,50.09998378641301,5.61039078672892,45.40387015201767,,27.494931943237766,4.601630093567064,6.6172421097225165,2.214041051640225,4.56259267104427,1.4581736325515158,47210.0,3369.531914893617,25.52560996712233,4.828575691253359,18.42919842919843,3.6554971715815006,84.46845701573177,4.299066826147223,23.1,,1179.5810685584,,546.520466749,,50.87481729859857,4.452504433169319
Zip code,60645,60645,48356,38.67614237049219,4.056709994800931,47.15346810280673,,17.94150731158605,3.8620904029479077,34.94855625622304,4.262192045660044,42.729422502489214,3.2171159428179354,48208.0,3344.510638297872,20.033998614871244,2.6151406722894244,7.97198691604462,1.873334505011722,87.18718402426694,8.856026406929159,14.2,,153.5544331716,,9.774664745,,29.68569811083388,3.0647342800849744
Zip code,60646,60646,28383,31.948574427147104,6.496897773026111,50.299589852406676,,11.618697404709708,2.9748621792556227,19.364141765114663,3.4707359790623347,68.67963863794301,3.7564374924532706,28780.0,1801.531914893617,6.769955030916246,2.767427389319854,3.349186147766093,1.5339478609635118,95.20157231196973,3.6412398749628903,9.4,,44.869783359799996,,8.481684177,,10.329477742726954,3.7184997177632253
Zip code,60647,60647,85631,31.67391696053952,2.4793028414782383,47.170607929979404,,24.577693254279,1.562918382905915,15.079823950725082,1.3911213528626512,49.51680845791691,1.7527323993334234,84749.0,3090.723404255319,12.004699348499411,2.1499210634794017,4.225352112676056,0.7180998027084456,91.78969381066824,1.2592685406503332,12.7,,485.1361089114,,41.778652553,,14.862030970463136,1.7174378450023584
Zip code,60649,60649,48171,46.48266159066457,5.034548895182291,44.88216424977492,,24.76167778836988,4.79067695180338,3.148410188113867,1.0102402491243703,3.7123356084568,1.583320009594719,48056.0,3530.3829787234044,27.469057307561883,5.259529121612451,14.661819344013423,3.346223063657087,88.80207598792768,3.682071588497006,21.6,,1092.8340161956,,73.224439275,,41.91826486908455,5.229937447030513
Zip code,60651,60651,62819,46.38365514984338,4.9449244346213845,46.50388668913237,,25.93045743379248,4.249954451988135,17.42322570458672,3.022976557625912,6.254045946159311,1.9326912924435407,63335.0,4401.36170212766,25.752050322477903,4.366292173378903,13.318127727092424,2.742900744411849,80.02173650525299,8.068502583160663,18.5,,982.5787938832,,644.060261257,,36.18650624476971,3.460907984182568
Zip code,60652,60652,40898,36.01585124218869,5.014153856902824,50.37934235906369,,9.589639910387412,2.547275735943101,18.16234114038077,2.3003515102953394,8.216876856405513,1.907609667028213,41074.0,3124.0851063829787,11.523671899875088,2.877323465130765,9.847980997624704,2.234704931689747,81.67615181063545,1.304391181226183,12.0,,191.6145040692,,8.705873406,,28.164564711644424,4.614324382300585
Zip code,60653,60653,33146,47.86423039690222,4.323656661424266,43.41973987111355,,22.60378879484079,4.293332112011499,6.979600395410839,1.841166630941246,6.542252044453764,1.6089970462941448,33383.0,2149.446808510638,30.326551650950545,4.327460443952697,17.17165191549842,3.344063119717797,89.55139863167922,4.1360814157681745,21.9,,467.1964218662,,34.707358953,,37.74115512549138,4.599544437074715
Zip code,60654,60654,23890,31.22937293729373,5.869503650909973,50.08260178276787,,42.593303271610864,7.637473702319725,20.83090662007377,5.443635093489622,67.82760629004076,5.621197402349185,25755.0,2068.425531914894,7.253080421347223,2.7874098670227543,2.5381182595760508,1.439329288738791,99.41966876478727,2.893439347312679,9.6,,237.0688872844,,48.270815352,,2.8576975344593283,1.1571521545416552
Zip code,60655,60655,27837,20.937359170797656,3.5372956889470824,51.23013078476778,,6.048034934497816,1.6746381415548417,1.9976084968699448,0.7653766430853413,79.10951677569106,6.799976464045629,28434.0,1752.6808510638296,4.647344374643061,1.689616034201397,4.365433454595373,1.5857581548783786,96.20173364854216,3.7454962544652974,9.3,,43.833138837,,8.805103577,,8.481970096745822,2.549961894751363
Zip code,60656,60656,28474,28.977227005713367,4.698329812103309,48.87072763248153,,10.535405872193436,2.933203274304964,38.93967093235832,4.489244230549564,66.37213081454398,2.2688294074488473,29538.0,1983.8297872340427,6.831877581420542,3.03927748161307,4.834786735480809,1.920087920406742,92.01858496641825,3.1122408930789764,11.1,,44.0278224414,,3.9055916749999997,,15.129663484325276,3.287323679949321
Zip code,60657,60657,72316,33.47482724580454,2.992984371030653,46.261782145773985,,37.35760841571409,1.8031192053417793,11.883900756564309,1.4215533638120927,74.87761459724076,2.0663941705514643,71904.0,2337.702127659574,7.8147692995196065,1.1246865235029895,3.4268911047859603,0.865204428399797,98.71042089666904,2.5171355280105505,10.9,,260.1592082204,,15.955235417,,4.851729474256556,0.9520967575529533
Zip code,60659,60659,40579,41.85910978363809,5.011613161305443,47.158098091001484,,14.899467262416222,2.904467563381982,42.6787768404908,4.093661381100518,37.109375,3.1764236778463992,41728.0,2935.8297872340427,16.274012323305545,4.544447018990034,6.539935457845905,2.3054972274907364,85.89792060491493,3.308978625404788,15.8,,163.704781949,,20.903509148999998,,31.75395447530864,4.809340272709021
Zip code,60660,60660,42534,40.919941241278,3.800765804319521,43.361472644616434,,34.565603936649715,3.0111169372635986,27.429547795150267,3.9796592285668457,47.70152607433761,2.0237451868696024,42724.0,2311.489361702128,17.42499050512723,2.9770796696549726,7.147683760042045,1.6701794677251458,93.87170322898692,7.980841434379514,15.3,,161.2644931976,,16.421682196,,14.997854384208267,2.72923952976051
Zip code,60661,60661,11987,30.08474576271186,8.722201381545428,48.80512033421186,,36.4690581987645,7.837245251411796,22.23197052114406,6.31337301586537,48.508510264958765,7.497284022359225,11398.0,1102.127659574468,7.148551687483391,4.505900859842555,4.03652588979973,3.5092194683361044,98.72781368626244,6.038000169592183,9.6,,67.480050593,,38.023247772000005,,3.7024039305141256,2.9155344214643537
Zip code,60707,60707,43241,34.177611006879296,4.638385381418518,48.05999647086984,,6.819655774507359,1.927427268525749,26.106625158089308,4.097369334949476,45.00437785776826,3.8045634373027655,41116.0,1980.255319148936,10.069563513447314,2.3850848865529595,6.015106853352985,1.7568981402179873,87.40383317586719,4.61209485569364,12.1,,60.142424607799995,,5.104251179,,20.031275961491477,3.0950018472143843
Zip code,60827,60827,24936,48.09992590240288,5.565463480861746,46.627371466574616,,18.51616187325019,5.333953763519161,2.0515518148342977,1.0946272665757932,0.8659410027111236,0.5189601976583479,24713.0,1214.127659574468,40.153234960272414,6.218385561582273,19.42229138299941,4.61951698624283,88.37018837018837,3.4145373196509246,21.5,,173.4435670792,,2.995234854,,55.66167543504654,5.3927820694626725
